22:42:39.909 om.example.taxi              Late-enabling -Xcheck:jni
22:42:39.968 om.example.taxi              Using CollectorTypeCMC GC.
22:42:39.969 om.example.taxi              Unexpected CPU variant for x86: x86_64.
                                          Known variants: atom, sandybridge, silvermont, goldmont, goldmont-plus, goldmont-without-sha-xsaves, tremont, kabylake, alderlake, default
22:42:40.000 nativeloader                 Load libframework-connectivity-tiramisu-jni.so using APEX ns com_android_tethering for caller /apex/com.android.tethering/javalib/framework-connectivity-t.jar: ok
22:42:40.448 nativeloader                 Load /data/user/0/com.example.taxi/code_cache/startup_agents/3fc68f17-agent.so using system ns (caller=<unknown>): ok
22:42:40.472 om.example.taxi              hiddenapi: DexFile /data/data/com.example.taxi/code_cache/.studio/instruments-c9b0d10a.jar is in boot class path but is not in a known location
22:42:40.419 re-initialized>              type=1400 audit(0.0:94): avc:  granted  { execute } for  path="/data/data/com.example.taxi/code_cache/startup_agents/3fc68f17-agent.so" dev="dm-55" ino=360561 scontext=u:r:untrusted_app:s0:c217,c256,c512,c768 tcontext=u:object_r:app_data_file:s0:c217,c256,c512,c768 tclass=file app=com.example.taxi
22:42:41.299 om.example.taxi              Redefining intrinsic method java.lang.Thread java.lang.Thread.currentThread(). This may cause the unexpected use of the original definition of java.lang.Thread java.lang.Thread.currentThread()in methods that have already been compiled.
22:42:41.299 om.example.taxi              Redefining intrinsic method boolean java.lang.Thread.interrupted(). This may cause the unexpected use of the original definition of boolean java.lang.Thread.interrupted()in methods that have already been compiled.
22:42:41.364 ApplicationLoaders           Returning zygote-cached class loader: /system/framework/org.apache.http.legacy.jar
22:42:41.365 ApplicationLoaders           Returning zygote-cached class loader: /system_ext/framework/androidx.window.extensions.jar
22:42:41.365 ApplicationLoaders           Returning zygote-cached class loader: /system_ext/framework/androidx.window.sidecar.jar
